"";"STATE";"fund_tot";"numaward_tot";"yr";"moneyrat"
"1030";"AR";61681136;135;2012;456897,303703704
"1031";"AZ";173611961;423;2012;410430,1678487
"1032";"CA";3474569212;7768;2012;447292,63800206
"1033";"CO";313876933;903;2012;347593,502768549
"1034";"CT";476331120;1201;2012;396612,089925062
"1035";"DC";192113367;378;2012;508236,420634921
"1036";"DE";32694919;67;2012;487983,865671642
"1037";"FL";502112696;1163;2012;431739,205503009
"1038";"GA";465777567;1092;2012;426536,233516484
"1039";"GU";1320045;1;2012;1320045
"1040";"HI";57469079;101;2012;569000,782178218
"1041";"IA";194923354;440;2012;443007,622727273
"1042";"ID";9486875;15;2012;632458,333333333
"1043";"IL";798049640;1983;2012;402445,607665154
"1044";"IN";203015624;624;2012;325345,551282051
"1045";"KS";102161656;255;2012;400633,945098039
"1046";"KY";155902540;403;2012;386854,937965261
"1047";"LA";167988610;343;2012;489762,711370262
"1048";"MA";2561823676;5157;2012;496766,274190421
"1049";"MD";1597575211;2416;2012;661248,017798013
"1050";"ME";75385414;126;2012;598296,936507936
"1051";"MI";632753734;1581;2012;400223,740670462
"1052";"MN";497046006;1083;2012;458952,914127424
"1053";"MO";480235827;1100;2012;436578,024545455
"1054";"MS";34378519;78;2012;440750,243589744
"1055";"MT";28981911;65;2012;445875,553846154
"1056";"NC";1060708387;2292;2012;462787,254363002
"1057";"ND";14724658;35;2012;420704,514285714
"1058";"NE";91493018;221;2012;413995,556561086
"1059";"NH";92014800;200;2012;460074
"1060";"NJ";259568265;612;2012;424131,151960784
"1061";"NM";104421085;221;2012;472493,597285068
"1062";"NV";21493766;44;2012;488494,681818182
"1063";"NY";2042082880;4851;2012;420961,220366935
"1064";"OH";707599023;1698;2012;416724,98409894
"1065";"OK";85477914;187;2012;457101,144385027
"1066";"OR";304571134;713;2012;427168,49088359
"1067";"PA";1460422797;3524;2012;414421,906072645
"1068";"PR";50949641;90;2012;566107,122222222
"1069";"RI";149747871;466;2012;321347,362660944
"1070";"SC";135989849;392;2012;346912,880102041
"1071";"SD";21598948;36;2012;599970,777777778
"1072";"TN";475698331;1112;2012;427786,268884892
"1073";"TX";1076694946;2641;2012;407684,568723968
"1074";"UT";172093296;436;2012;394709,394495413
"1075";"VA";314774907;772;2012;407739,516839378
"1076";"VI";1829892;4;2012;457473
"1077";"VT";52258747;128;2012;408271,4609375
"1078";"WA";917530811;1645;2012;557769,489969605
"1079";"WI";376365540;929;2012;405129,752421959
"1080";"WV";37260279;50;2012;745205,58
"1081";"WY";7157999;12;2012;596499,916666667
"1082";"AK";7715348;13;2013;593488,307692308
"1083";"AL";228361926;551;2013;414449,956442831
"1084";"AR";47375803;111;2013;426809,036036036
"1085";"AZ";181994614;414;2013;439600,516908213
"1086";"CA";3334417367;7692;2013;433491,597373895
"1087";"CO";316250928;896;2013;352958,625
"1088";"CT";444604573;1109;2013;400905,836789901
"1089";"DC";187059381;377;2013;496178,729442971
"1090";"DE";31292299;56;2013;558791,053571429
"1091";"FL";435070486;1126;2013;386385,86678508
"1092";"GA";450948506;1080;2013;417544,912962963
"1093";"GU";938735;1;2013;938735
"1094";"HI";42476104;77;2013;551637,714285714
"1095";"IA";167301383;425;2013;393650,312941176
"1096";"ID";7631975;13;2013;587075
"1097";"IL";760094768;1883;2013;403661,586829527
"1098";"IN";185446148;578;2013;320841,08650519
"1099";"KS";88498840;221;2013;400447,239819005
"1100";"KY";142244879;388;2013;366610,512886598
"1101";"LA";133366855;322;2013;414182,779503106
"1102";"MA";2384194331;5004;2013;476457,700039968
"1103";"MD";1590089001;2306;2013;689544,232870772
"1104";"ME";71863840;117;2013;614220,854700855
"1105";"MI";575888662;1460;2013;394444,289041096
"1106";"MN";493986459;1051;2013;470015,660323501
"1107";"MO";409220062;1067;2013;383523,956888472
"1108";"MS";47719765;82;2013;581948,353658537
"1109";"MT";29180671;73;2013;399735,219178082
"1110";"NC";1037787330;2229;2013;465584,266487214
"1111";"ND";16748955;31;2013;540288,870967742
"1112";"NE";85275133;209;2013;408014,990430622
"1113";"NH";93273045;213;2013;437901,61971831
"1114";"NJ";237706212;650;2013;365701,864615385
"1115";"NM";90338318;201;2013;449444,368159204
"1116";"NV";24763265;45;2013;550294,777777778
"1117";"NY";1946867660;4814;2013;404417,877025343
"1118";"OH";685296857;1643;2013;417100,947656725
"1119";"OK";87850740;169;2013;519826,863905325
"1120";"OR";286841787;665;2013;431341,033082707
"1121";"PA";1387997591;3350;2013;414327,639104478
"1122";"PR";52000817;85;2013;611774,317647059
"1123";"RI";144462615;467;2013;309341,788008565
"1124";"SC";119584114;381;2013;313869,065616798
"1125";"SD";20585586;32;2013;643299,5625
"1126";"TN";456095526;1094;2013;416906,330895795
"1127";"TX";956595241;2487;2013;384638,215118617
"1128";"UT";159170653;433;2013;367599,660508083
"1129";"VA";319864264;768;2013;416489,927083333
"1130";"VI";1839792;4;2013;459948
"1131";"VT";54870347;110;2013;498821,336363636
"1132";"WA";835211940;1577;2013;529620,760938491
"1133";"WI";371985168;910;2013;408774,90989011
"1134";"WV";17326476;44;2013;393783,545454545
"1135";"WY";7681422;15;2013;512094,8
"1136";"AK";10793647;17;2014;634920,411764706
"1137";"AL";254389030;554;2014;459185,974729242
"1138";"AR";44267479;103;2014;429781,349514563
"1139";"AZ";157955333;402;2014;392923,713930348
"1140";"CA";3410496236;7631;2014;446926,515004587
"1141";"CO";310947915;916;2014;339462,78930131
"1142";"CT";464422776;1117;2014;415776,880931065
"1143";"DC";189453303;354;2014;535178,822033898
"1144";"DE";38759337;67;2014;578497,567164179
"1145";"FL";472980811;1101;2014;429592,017257039
"1146";"GA";466527650;1147;2014;406737,27114211
"1147";"HI";47415169;86;2014;551339,174418605
"1148";"IA";164604699;405;2014;406431,355555556
"1149";"ID";10687130;17;2014;628654,705882353
"1150";"IL";710197186;1867;2014;380394,8505624
"1151";"IN";208065343;587;2014;354455,439522998
"1152";"KS";101109172;237;2014;426620,978902954
"1153";"KY";150966278;381;2014;396236,950131234
"1154";"LA";129974273;270;2014;481386,196296296
"1155";"MA";2364750629;4897;2014;482897,820910762
"1156";"MD";1010931562;2081;2014;485791,235944258
"1157";"ME";71653821;111;2014;645529,918918919
"1158";"MI";570661279;1416;2014;403009,377824859
"1159";"MN";496534123;1032;2014;481137,716085271
"1160";"MO";467769290;1064;2014;439632,791353383
"1161";"MS";35261771;73;2014;483037,95890411
"1162";"MT";30932602;66;2014;468675,787878788
"1163";"NC";991876570;2131;2014;465451,229469732
"1164";"ND";15893123;29;2014;548038,724137931
"1165";"NE";88610327;218;2014;406469,389908257
"1166";"NH";96346438;200;2014;481732,19
"1167";"NJ";228454278;537;2014;425426,960893855
"1168";"NM";92919828;213;2014;436243,323943662
"1169";"NV";25543601;45;2014;567635,577777778
"1170";"NY";2069300604;4774;2014;433452,158357771
"1171";"OH";633220134;1536;2014;412252,69140625
"1172";"OK";87727393;173;2014;507094,757225434
"1173";"OR";301075374;666;2014;452065,126126126
"1174";"PA";1496869899;3358;2014;445762,328469327
"1175";"PR";42352575;84;2014;504197,321428571
"1176";"RI";131867381;437;2014;301756,020594966
"1177";"SC";146716608;420;2014;349325,257142857
"1178";"SD";21352280;35;2014;610065,142857143
"1179";"TN";444845210;1069;2014;416132,095416277
"1180";"TX";972156544;2509;2014;387467,73375847
"1181";"UT";164613339;441;2014;373272,87755102
"1182";"VA";280046652;744;2014;376406,790322581
"1183";"VI";1760298;3;2014;586766
"1184";"VT";57695341;107;2014;539208,794392523
"1185";"WA";876933041;1565;2014;560340,601277955
"1186";"WI";383027428;878;2014;436249,917995444
"1187";"WV";18958353;42;2014;451389,357142857
"1188";"WY";7485353;18;2014;415852,944444444
"1189";"AK";13530884;18;2015;751715,777777778
"1190";"AL";280132189;610;2015;459233,096721311
"1191";"AR";39330143;89;2015;441911,719101124
"1192";"AZ";150571834;398;2015;378321,190954774
"1193";"CA";3474161367;7672;2015;452836,465980188
"1194";"CO";328798618;926;2015;355074,101511879
"1195";"CT";461253508;1119;2015;412201,526362824
"1196";"DC";193374195;370;2015;522632,959459459
"1197";"DE";36448281;73;2015;499291,520547945
"1198";"FL";521809306;1105;2015;472225,616289593
"1199";"GA";507035197;1176;2015;431152,378401361
"1200";"GU";385192;1;2015;385192
"1201";"HI";48395466;80;2015;604943,325
"1202";"IA";159953920;376;2015;425409,361702128
"1203";"ID";10519645;14;2015;751403,214285714
"1204";"IL";735888006;1903;2015;386698,89963216
"1205";"IN";214467919;610;2015;351586,752459016
"1206";"KS";85730615;211;2015;406306,232227488
"1207";"KY";160662638;427;2015;376259,105386417
"1208";"LA";129541946;267;2015;485175,827715356
"1209";"MA";2424537355;4892;2015;495612,705437449
"1210";"MD";1292799651;2237;2015;577916,696915512
"1211";"ME";84109422;122;2015;689421,491803279
"1212";"MI";622758951;1488;2015;418520,800403226
"1213";"MN";496711478;1010;2015;491793,542574257
"1214";"MO";471597177;1091;2015;432261,390467461
"1215";"MS";47743710;89;2015;536446,179775281
"1216";"MT";28545042;75;2015;380600,56
"1217";"NC";1055162620;2130;2015;495381,511737089
"1218";"ND";15608301;37;2015;421845,972972973
"1219";"NE";89753028;224;2015;400683,160714286
"1220";"NH";103408148;212;2015;487774,283018868
"1221";"NJ";225123222;552;2015;407831,923913043
"1222";"NM";90519443;192;2015;471455,432291667
"1223";"NV";24989550;50;2015;499791
"1224";"NY";2046827937;4874;2015;419948,284160853
"1225";"OH";670051590;1633;2015;410319,406001225
"1226";"OK";86167366;177;2015;486821,276836158
"1227";"OR";288575225;656;2015;439901,257621951
"1228";"PA";1500310007;3363;2015;446122,511745465
"1229";"PR";46255399;80;2015;578192,4875
"1230";"RI";132453207;432;2015;306604,645833333
"1231";"SC";152455721;411;2015;370938,493917275
"1232";"SD";20553406;32;2015;642293,9375
"1233";"TN";443117044;1040;2015;426074,080769231
"1234";"TX";1004412330;2501;2015;401604,290283886
"1235";"UT";159471205;430;2015;370863,26744186
"1236";"VA";322542956;788;2015;409318,472081218
"1237";"VI";1763865;4;2015;440966,25
"1238";"VT";49247338;99;2015;497447,858585859
"1239";"WA";885339570;1536;2015;576392,94921875
"1240";"WI";403409070;915;2015;440884,229508197
"1241";"WV";20974749;59;2015;355504,220338983
"1242";"WY";10459943;17;2015;615290,764705882
"1243";"AK";14594777;17;2016;858516,294117647
"1244";"AL";294964217;654;2016;451015,622324159
"1245";"AR";96652655;108;2016;894931,990740741
"1246";"AS";333777;1;2016;333777
"1247";"AZ";163447535;382;2016;427873,128272251
"1248";"CA";3686026589;7720;2016;477464,584067358
"1249";"CO";349974172;991;2016;353152,544904137
"1250";"CT";510609681;1179;2016;433087,091603053
"1251";"DC";214175791;361;2016;593284,739612188
"1252";"DE";45371848;75;2016;604957,973333333
"1253";"FL";531720813;1196;2016;444582,619565217
"1254";"GA";520595434;1205;2016;432029,405809129
"1255";"GU";1327275;2;2016;663637,5
"1256";"HI";54427971;86;2016;632883,38372093
"1257";"IA";170060863;415;2016;409785,212048193
"1258";"ID";14139675;19;2016;744193,421052632
"1259";"IL";818027921;1995;2016;410039,058145363
"1260";"IN";225125822;630;2016;357342,574603175
"1261";"KS";91306154;226;2016;404009,530973451
"1262";"KY";163613208;415;2016;394248,693975904
"1263";"LA";141817492;297;2016;477499,973063973
"1264";"MA";2572549176;5029;2016;511542,88645854
"1265";"MD";1465624060;2358;2016;621553,884648007
"1266";"ME";75619398;114;2016;663328,052631579
"1267";"MI";669562129;1530;2016;437622,306535948
"1268";"MN";520225717;1029;2016;505564,350826045
"1269";"MO";508984218;1158;2016;439537,321243523
"1270";"MS";53538828;89;2016;601559,865168539
"1271";"MT";37310308;85;2016;438944,8
"1272";"NC";1154347750;2221;2016;519742,345790185
"1273";"ND";22471682;36;2016;624213,388888889
"1274";"NE";107024633;241;2016;444085,614107884
"1275";"NH";98857889;211;2016;468520,800947867
"1276";"NJ";240135510;571;2016;420552,556917688
"1277";"NM";99743752;218;2016;457540,146788991
"1278";"NV";31316007;55;2016;569381,945454545
"1279";"NY";2205949608;4953;2016;445376,460327075
"1280";"OH";734159508;1694;2016;433388,13931523
"1281";"OK";90675755;182;2016;498218,434065934
"1282";"OR";274614404;616;2016;445802,603896104
"1283";"PA";1570151520;3464;2016;453276,997690531
"1284";"PR";45386049;77;2016;589429,207792208
"1285";"RI";150833713;443;2016;340482,422121896
"1286";"SC";179069761;432;2016;414513,335648148
"1287";"SD";21563049;35;2016;616087,114285714
"1288";"TN";512414823;1187;2016;431688,9831508
"1289";"TX";1097661190;2633;2016;416886,133687809
"1290";"UT";185147981;455;2016;406918,63956044
"1291";"VA";349479689;816;2016;428283,932598039
"1292";"VI";1383174;2;2016;691587
"1293";"VT";48758135;115;2016;423983,782608696
"1294";"WA";952837210;1555;2016;612757,048231511
"1295";"WI";421776499;902;2016;467601,440133038
"1296";"WV";24040666;57;2016;421766,070175439
"1297";"WY";9477709;15;2016;631847,266666667
"1298";"AK";16807959;22;2017;763998,136363636
"1299";"AL";298159928;644;2017;462981,254658385
"1300";"AR";57121262;99;2017;576982,444444444
"1301";"AS";345595;1;2017;345595
"1302";"AZ";189017221;419;2017;451115,085918854
"1303";"CA";3946354973;8013;2017;492494,06876326
"1304";"CO";359373233;1038;2017;346216,987475915
"1305";"CT";523840659;1191;2017;439832,62720403
"1306";"DC";227290658;388;2017;585800,664948454
"1307";"DE";43478947;83;2017;523842,734939759
"1308";"FL";649937528;1294;2017;502270,114374034
"1309";"GA";537432564;1237;2017;434464,481810833
"1310";"GU";1477979;2;2017;738989,5
"1311";"HI";49501218;75;2017;660016,24
"1312";"IA";177382576;436;2017;406840,770642202
"1313";"ID";14111293;21;2017;671966,333333333
"1314";"IL";805534710;2009;2017;400963,021403683
"1315";"IN";260619990;644;2017;404689,425465839
"1316";"KS";100626042;231;2017;435610,571428571
"1317";"KY";188040144;436;2017;431284,733944954
"1318";"LA";141655706;285;2017;497037,564912281
"1319";"MA";2716744336;5185;2017;523962,263452266
"1320";"MD";1611922948;2368;2017;680710,704391892
"1321";"ME";89376475;129;2017;692840,891472868
"1322";"MI";707701422;1598;2017;442866,972465582
"1323";"MN";557123766;1121;2017;496988,194469224
"1324";"MO";537473067;1209;2017;444560,022332506
"1325";"MS";53222915;89;2017;598010,280898876
"1326";"MT";35990724;69;2017;521604,695652174
"1327";"NC";1245779004;2330;2017;534669,100429185
"1328";"ND";18385626;31;2017;593084,709677419
"1329";"NE";108033678;234;2017;461682,384615385
"1330";"NH";108855314;234;2017;465193,64957265
"1331";"NJ";241011762;572;2017;421349,234265734
"1332";"NM";100267575;205;2017;489110,12195122
"1333";"NV";31509616;56;2017;562671,714285714
"1334";"NY";2386044645;5056;2017;471923,387064873
"1335";"OH";754319250;1758;2017;429078,071672355
"1336";"OK";92143859;186;2017;495397,091397849
"1337";"OR";312178061;655;2017;476607,726717557
"1338";"PA";1672904696;3582;2017;467030,903405919
"1339";"PR";43230349;62;2017;697263,693548387
"1340";"RI";170596599;486;2017;351021,808641975
"1341";"SC";183487335;441;2017;416071,054421769
"1342";"SD";23546895;34;2017;692555,735294118
"1343";"TN";511447964;1100;2017;464952,694545455
"1344";"TX";1160644529;2764;2017;419914,80788712
"1345";"UT";198103596;479;2017;413577,444676409
"1346";"VA";376960324;833;2017;452533,402160864
"1347";"VI";278823;1;2017;278823
"1348";"VT";49305329;111;2017;444192,153153153
"1349";"WA";998183675;1656;2017;602767,91968599
"1350";"WI";424884794;915;2017;464354,966120219
"1351";"WV";28279075;58;2017;487570,25862069
"1352";"WY";12436531;19;2017;654554,263157895
"1353";"AK";3095135;6;2018;515855,833333333
"1354";"AL";219406339;434;2018;505544,559907834
"1355";"AR";36168761;66;2018;548011,53030303
"1356";"AS";336671;1;2018;336671
"1357";"AZ";150267787;313;2018;480088,776357827
"1358";"CA";2507770111;5197;2018;482541,8724264
"1359";"CO";255688795;684;2018;373814,027777778
"1360";"CT";348329472;806;2018;432170,560794045
"1361";"DC";123058486;222;2018;554317,504504504
"1362";"DE";29910561;63;2018;474770,80952381
"1363";"FL";377419439;872;2018;432820,457568807
"1364";"GA";352411141;791;2018;445526,094816688
"1365";"GU";530523;1;2018;530523
"1366";"HI";32020467;49;2018;653478,918367347
"1367";"IA";129680405;307;2018;422411,74267101
"1368";"ID";11362263;12;2018;946855,25
"1369";"IL";540695748;1285;2018;420774,901167315
"1370";"IN";156183830;398;2018;392421,683417085
"1371";"KS";66651383;151;2018;441399,887417219
"1372";"KY";125077481;298;2018;419723,090604027
"1373";"LA";104929853;188;2018;558137,515957447
"1374";"MA";1799434579;3435;2018;523852,861426492
"1375";"MD";678674533;1445;2018;469670,957093426
"1376";"ME";60136655;99;2018;607440,95959596
"1377";"MI";513538969;1132;2018;453656,333038869
"1378";"MN";354878365;751;2018;472541,098535286
"1379";"MO";388671361;849;2018;457799,011778563
"1380";"MS";29413958;58;2018;507137,206896552
"1381";"MT";18679644;46;2018;406079,217391304
"1382";"NC";805619908;1422;2018;566540,019690577
"1383";"ND";12386544;22;2018;563024,727272727
"1384";"NE";80326687;177;2018;453823,09039548
"1385";"NH";65978871;131;2018;503655,503816794
"1386";"NJ";158936220;374;2018;424963,155080214
"1387";"NM";60487489;116;2018;521443,870689655
"1388";"NV";22448913;36;2018;623580,916666667
"1389";"NY";1638528312;3481;2018;470706,208560758
"1390";"OH";508627900;1103;2018;461131,368993654
"1391";"OK";59049735;123;2018;480079,146341463
"1392";"OR";225722250;429;2018;526159,090909091
"1393";"PA";1178489597;2515;2018;468584,332803181
"1394";"PR";30437103;41;2018;742368,365853659
"1395";"RI";120668694;350;2018;344767,697142857
"1396";"SC";123701163;290;2018;426555,734482759
"1397";"SD";9148952;19;2018;481523,789473684
"1398";"TN";342101954;761;2018;449542,64651774
"1399";"TX";751688094;1813;2018;414610,090457805
"1400";"UT";130062213;336;2018;387089,919642857
"1401";"VA";225729443;547;2018;412668,085923218
"1402";"VI";554007;2;2018;277003,5
"1403";"VT";32360930;79;2018;409632,025316456
"1404";"WA";686683770;1076;2018;638181,942379182
"1405";"WI";273168329;603;2018;453015,470978441
"1406";"WV";14147640;35;2018;404218,285714286
"1407";"WY";7552572;11;2018;686597,454545455
