"";"STATE";"fund_tot";"numaward_tot";"yr";"moneyrat"
"674";"NC";1075931713;2207;2005;487508,705482555
"675";"ND";20739876;43;2005;482322,697674419
"676";"NE";75620920;215;2005;351725,209302326
"677";"NH";97934857;242;2005;404689,491735537
"678";"NJ";293206907;688;2005;426172,82994186
"679";"NM";114944144;221;2005;520109,248868778
"680";"NV";22981338;52;2005;441948,807692308
"681";"NY";2021127717;4898;2005;412643,470191915
"682";"OH";721105224;1846;2005;390631,2156013
"683";"OK";82819568;191;2005;433610,303664921
"684";"OR";275962818;757;2005;364547,976221929
"685";"PA";1448431995;3585;2005;404025,661087866
"686";"PR";64360468;76;2005;846848,263157895
"687";"RI";132013130;445;2005;296658,719101124
"688";"SC";127866220;364;2005;351280,824175824
"689";"SD";19568074;28;2005;698859,785714286
"690";"TN";434580817;1059;2005;410369,043437205
"691";"TX";1149983026;2830;2005;406354,42614841
"692";"UT";151570586;422;2005;359172,004739336
"693";"VA";451991318;981;2005;460745,48216106
"694";"VI";831578;3;2005;277192,666666667
"695";"VT";67002764;175;2005;382872,937142857
"696";"WA";812696664;1633;2005;497670,95162278
"697";"WI";387692771;994;2005;390032,968812877
"698";"WV";20356732;53;2005;384089,283018868
"699";"WY";6294329;17;2005;370254,647058824
"700";"AK";7951952;12;2006;662662,666666667
"701";"AL";283758819;626;2006;453288,848242812
"702";"AR";61550246;165;2006;373031,793939394
"703";"AS";341740;1;2006;341740
"704";"AZ";164053210;476;2006;344649,600840336
"705";"CA";3365060603;7481;2006;449814,276567304
"706";"CO";317248542;929;2006;341494,663078579
"707";"CT";460395545;1201;2006;383343,501248959
"708";"DC";208421732;521;2006;400041,712092131
"709";"DE";29979289;79;2006;379484,670886076
"710";"FL";342742652;988;2006;346905,518218623
"711";"GA";372470274;1021;2006;364809,2791381
"712";"GU";793124;3;2006;264374,666666667
"713";"HI";58260690;112;2006;520184,732142857
"714";"IA";195527735;503;2006;388723,131212724
"715";"ID";11567757;21;2006;550845,571428571
"716";"IL";730574197;2024;2006;360955,630928854
"717";"IN";213543396;636;2006;335760,056603774
"718";"KS";79945740;229;2006;349108,034934498
"719";"KY";142988023;431;2006;331758,754060325
"720";"LA";169333624;354;2006;478343,570621469
"721";"MA";2286649660;5094;2006;448890,785237534
"722";"MD";1749019313;3211;2006;544696,142323264
"723";"ME";68886915;135;2006;510273,444444444
"724";"MI";560173913;1496;2006;374447,802807487
"725";"MN";430108451;1058;2006;406529,7268431
"726";"MO";495245427;1213;2006;408281,473206925
"727";"MS";41444661;95;2006;436259,589473684
"728";"MT";36205855;95;2006;381114,263157895
"729";"NC";1080894082;2253;2006;479757,692853972
"730";"ND";14645319;39;2006;375521
"731";"NE";78565444;229;2006;343080,541484716
"732";"NH";93613956;253;2006;370015,636363636
"733";"NJ";268817915;673;2006;399432,265973254
"734";"NM";115803616;223;2006;519298,726457399
"735";"NV";22627344;53;2006;426931,018867925
"736";"NY";1960844622;4831;2006;405887,936659077
"737";"OH";688844817;1865;2006;369353,789276139
"738";"OK";86809264;185;2006;469239,264864865
"739";"OR";285247459;766;2006;372385,716710183
"740";"PA";1441310767;3550;2006;406003,032957746
"741";"PR";62651217;72;2006;870155,791666667
"742";"RI";132160967;443;2006;298331,753950339
"743";"SC";124056821;364;2006;340815,442307692
"744";"SD";19514073;33;2006;591335,545454545
"745";"TN";426450229;1071;2006;398179,485527544
"746";"TX";1116958586;2844;2006;392742,118846695
"747";"UT";152900801;455;2006;336045,716483517
"748";"VA";405589574;1172;2006;346066,189419795
"749";"VI";905552;3;2006;301850,666666667
"750";"VT";63864007;152;2006;420157,940789474
"751";"WA";901006807;1687;2006;534088,208061648
"752";"WI";390637999;998;2006;391420,840681363
"753";"WV";22577149;59;2006;382663,542372881
"754";"WY";7074069;14;2006;505290,642857143
